"file","site","participant","complete","age_demographics","age_ams","age_group_dem","age_group_ams","Demographics","GiveN","HighestCount","AMS_NameFile","AMS_File","VM_NameFile","VM_File"
"KULeuven_mn001","KULeuven","mn001",2,3.921,3.917,"agegroup2","agegroup2","1","1","1","1","0",NA,"1"
"KULeuven_mn002","KULeuven","mn002",3,3.715,3.667,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn003","KULeuven","mn003",1,3.863,NA,"agegroup2",NA,"1","0","1","1",NA,NA,"0"
"KULeuven_mn004","KULeuven","mn004",3,3.586,3.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn005","KULeuven","mn005",3,3.655,3.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn006","KULeuven","mn006",2,4.11,4.083,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn007","KULeuven","mn007",2,3.485,3.417,"agegroup1","agegroup1","1","0","1","1","1",NA,"1"
"KULeuven_mn008","KULeuven","mn008",3,4.208,4.167,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn009","KULeuven","mn009",3,4.266,4.25,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn010","KULeuven","mn010",2,3.668,3.667,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn011","KULeuven","mn011",2,4.044,4,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn012","KULeuven","mn012",3,4.299,4.25,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn013","KULeuven","mn013",3,3.616,3.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn014","KULeuven","mn014",2,3.452,NA,"agegroup1",NA,"1","1","1","1",NA,NA,NA
"KULeuven_mn015","KULeuven","mn015",3,3.699,3.667,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn016","KULeuven","mn016",3,4.614,4.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn017","KULeuven","mn017",2,3.868,3.833,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn018","KULeuven","mn018",3,4.742,4.667,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn019","KULeuven","mn019",3,5.082,5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn020","KULeuven","mn020",3,4.638,4.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn021","KULeuven","mn021",2,4.967,4.917,"agegroup2","agegroup2","1","1","0","1","1",NA,"1"
"KULeuven_mn022","KULeuven","mn022",3,5.041,5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn023","KULeuven","mn023",3,5.318,5.25,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn024","KULeuven","mn024",3,4.616,4.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn025","KULeuven","mn025",3,3.471,3.417,"agegroup1","agegroup1","1","1","1","1","1",NA,"1"
"KULeuven_mn026","KULeuven","mn026",3,4.482,4.417,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn027","KULeuven","mn027",3,4.975,4.917,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn028","KULeuven","mn028",2,3.436,3.417,"agegroup1","agegroup1","1","0","1","1","1",NA,"1"
"KULeuven_mn029","KULeuven","mn029",3,4.551,4.5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn030","KULeuven","mn030",3,5.214,5.167,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn031","KULeuven","mn031",3,5.016,5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn032","KULeuven","mn032",3,4.858,4.833,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn033","KULeuven","mn033",3,4.904,4.833,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn034","KULeuven","mn034",3,4.373,4.333,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn035","KULeuven","mn035",3,4.137,4.083,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn036","KULeuven","mn036",3,4.416,4.333,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn037","KULeuven","mn037",3,5.244,5.167,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn038","KULeuven","mn038",3,4.803,4.75,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn039","KULeuven","mn039",3,4.345,4.333,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn040","KULeuven","mn040",3,4.718,4.667,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn041","KULeuven","mn041",3,4.499,4.417,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn042","KULeuven","mn042",2,3.734,3.667,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn043","KULeuven","mn043",3,4.759,4.75,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn044","KULeuven","mn044",3,3.759,3.75,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn045","KULeuven","mn045",2,3.66,3.583,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn046","KULeuven","mn046",3,3.556,3.5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn047","KULeuven","mn047",3,3.616,3.583,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn048","KULeuven","mn048",3,4.518,4.5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn049","KULeuven","mn049",3,4.126,4.083,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn050","KULeuven","mn050",2,3.751,3.75,"agegroup2","agegroup2","1","0","1","1","1",NA,"1"
"KULeuven_mn051","KULeuven","mn051",3,4.274,4.25,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn052","KULeuven","mn052",3,5.307,5.25,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn053","KULeuven","mn053",3,3.611,3.583,"agegroup2","agegroup2","1","1","1","1","1",NA,NA
"KULeuven_mn054","KULeuven","mn054",3,5.055,5,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn055","KULeuven","mn055",3,5.205,5.167,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn056","KULeuven","mn056",3,4.701,4.667,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn057","KULeuven","mn057",3,3.967,3.917,"agegroup2","agegroup2","1","1","1","1","1",NA,"1"
"KULeuven_mn058","KULeuven","mn058",0,2.751,NA,"agegroup1",NA,"1",NA,"0",NA,NA,NA,NA
"KULeuven_mn059","KULeuven","mn059",2,2.74,2.667,"agegroup1","agegroup1","1",NA,"1","1","1",NA,"1"
"KULeuven_mn060","KULeuven","mn060",2,2.923,2.917,"agegroup1","agegroup1","1",NA,"1","1","1",NA,"1"
"KULeuven_mn062","KULeuven","mn062",1,2.688,2.667,"agegroup1","agegroup1","1",NA,"0","1","1",NA,"1"
"KULeuven_mn063","KULeuven","mn063",2,2.542,2.5,"agegroup1","agegroup1","1",NA,"1","1","1",NA,"0"
