"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN01",1,"1",1,1,0
"11","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN11",1,"NA (Not Administered)",NA,NA,0
"19","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN19",1,"NA (Not Administered)",NA,NA,0
"2","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN02",2,"2",2,1,0
"15","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN015",2,"NA (Not Administered)",NA,NA,0
"18","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN18",2,"NA (Not Administered)",NA,NA,0
"7","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN07",3,"NA (Not Administered)",NA,NA,0
"14","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN14",3,"NA (Not Administered)",NA,NA,0
"23","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN23",3,"NA (Not Administered)",NA,NA,0
"3","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN03",4,"3",3,0,0
"9","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN09",4,"NA (Not Administered)",NA,NA,0
"21","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN21",4,"NA (Not Administered)",NA,NA,0
"6","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN06",5,"NR (No Response)",NA,NA,0
"12","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN12",5,"NA (Not Administered)",NA,NA,0
"20","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN20",5,"NA (Not Administered)",NA,NA,0
"5","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN05",6,"NR (No Response)",NA,NA,0
"10","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN10",6,"NA (Not Administered)",NA,NA,0
"24","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN24",6,"NA (Not Administered)",NA,NA,0
"4","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN04",8,"NR (No Response)",NA,NA,0
"16","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN16",8,"NA (Not Administered)",NA,NA,0
"22","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN22",8,"NA (Not Administered)",NA,NA,0
"8","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN08",10,"NA (Not Administered)",NA,NA,0
"13","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN13",10,"NA (Not Administered)",NA,NA,0
"17","mn007","KULeuven","R_2JX6or83ZHDkI6x","Yes (Please include date of testing)","04-23-2025","","GN17",10,"NA (Not Administered)",NA,NA,0
