"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN01",1,"1",1,1,1
"11","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN11",1,"1",1,1,1
"19","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN19",1,"1",1,1,1
"2","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN02",2,"2",2,1,1
"15","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN015",2,"2",2,1,1
"18","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN18",2,"2",2,1,1
"7","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN07",3,"6",6,0,1
"14","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN14",3,"9",9,0,1
"23","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN23",3,"15",15,0,1
"3","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN03",4,"4",4,1,1
"9","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN09",4,"7",7,0,1
"21","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN21",4,"7",7,0,1
"6","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN06",5,"10",10,0,1
"12","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN12",5,"7",7,0,1
"20","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN20",5,"6",6,0,1
"5","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN05",6,"8",8,0,1
"10","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN10",6,"8",8,0,1
"24","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN24",6,"7",7,0,1
"4","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN04",8,"10",10,0,1
"16","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN16",8,"14",14,0,1
"22","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN22",8,"7",7,0,1
"8","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN08",10,"7",7,0,1
"13","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN13",10,"7",7,0,1
"17","mn047","KULeuven","R_2FDGQdCQtyGHF6N","Yes (Please include date of testing)","05-13-2025","","GN17",10,"14",14,0,1
