"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN01",1,"1",1,1,0
"11","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN11",1,"1",1,1,0
"19","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN19",1,"1",1,1,0
"2","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN02",2,"2",2,1,0
"15","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN015",2,"2",2,1,0
"18","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN18",2,"2",2,1,0
"7","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN07",3,"20",20,0,0
"14","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN14",3,"NR (No Response)",NA,NA,0
"23","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN23",3,"NA (Not Administered)",NA,NA,0
"3","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN03",4,"3",3,0,0
"9","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN09",4,"17",17,0,0
"21","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN21",4,"7",7,0,0
"6","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN06",5,"10",10,0,0
"12","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN12",5,"3",3,0,0
"20","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN20",5,"4",4,0,0
"5","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN05",6,"4",4,0,0
"10","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN10",6,"20",20,0,0
"24","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN24",6,"NA (Not Administered)",NA,NA,0
"4","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN04",8,"4",4,0,0
"16","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN16",8,"20",20,0,0
"22","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN22",8,"NR (No Response)",NA,NA,0
"8","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN08",10,"NR (No Response)",NA,NA,0
"13","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN13",10,"15",15,0,0
"17","mn003","KULeuven","R_29VUkZhNplSJrgJ","Yes (Please include date of testing)","04-22-2025","","GN17",10,"20",20,0,0
