"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN01",1,"1",1,1,1
"11","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN11",1,"1",1,1,1
"19","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN19",1,"1",1,1,1
"2","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN02",2,"2",2,1,1
"15","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN015",2,"2",2,1,1
"18","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN18",2,"2",2,1,1
"7","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN07",3,"2",2,0,1
"14","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN14",3,"2",2,0,1
"23","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN23",3,"2",2,0,1
"3","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN03",4,"2",2,0,1
"9","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN09",4,"2",2,0,1
"21","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN21",4,"2",2,0,1
"6","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN06",5,"2",2,0,1
"12","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN12",5,"2",2,0,1
"20","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN20",5,"2",2,0,1
"5","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN05",6,"2",2,0,1
"10","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN10",6,"2",2,0,1
"24","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN24",6,"2",2,0,1
"4","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN04",8,"2",2,0,1
"16","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN16",8,"2",2,0,1
"22","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN22",8,"2",2,0,1
"8","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN08",10,"2",2,0,1
"13","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN13",10,"2",2,0,1
"17","mn005","KULeuven","R_29cEhg3AKbGFY3G","Yes (Please include date of testing)","04-22-2025","","GN17",10,"2",2,0,1
