"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN01",1,"1",1,1,1
"11","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN11",1,"1",1,1,1
"19","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN19",1,"1",1,1,1
"2","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN02",2,"2",2,1,1
"15","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN015",2,"2",2,1,1
"18","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN18",2,"2",2,1,1
"7","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN07",3,"3",3,1,1
"14","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN14",3,"3",3,1,1
"23","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN23",3,"3",3,1,1
"3","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN03",4,"4",4,1,1
"9","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN09",4,"4",4,1,1
"21","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN21",4,"4",4,1,1
"6","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN06",5,"5",5,1,1
"12","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN12",5,"4",4,0,1
"20","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN20",5,"5",5,1,1
"5","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN05",6,"6",6,1,1
"10","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN10",6,"6",6,1,1
"24","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN24",6,"6",6,1,1
"4","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN04",8,"11",11,0,1
"16","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN16",8,"6",6,0,1
"22","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN22",8,"8",8,1,1
"8","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN08",10,"10",10,1,1
"13","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN13",10,"10",10,1,1
"17","mn013","KULeuven","R_2NqXsHjUxLCeTL3","Yes (Please include date of testing)","04-24-2025","","GN17",10,"10",10,1,1
