"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN01",1,"1",1,1,0
"11","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN11",1,"1",1,1,0
"19","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN19",1,"1",1,1,0
"2","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN02",2,"2",2,1,0
"15","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN015",2,"2",2,1,0
"18","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN18",2,"2",2,1,0
"7","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN07",3,"3",3,1,0
"14","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN14",3,"3",3,1,0
"23","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN23",3,"3",3,1,0
"3","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN03",4,"4",4,1,0
"9","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN09",4,"4",4,1,0
"21","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN21",4,"4",4,1,0
"6","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN06",5,"7",7,0,0
"12","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN12",5,"NR (No Response)",NA,NA,0
"20","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN20",5,"NR (No Response)",NA,NA,0
"5","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN05",6,"9",9,0,0
"10","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN10",6,"NR (No Response)",NA,NA,0
"24","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN24",6,"NR (No Response)",NA,NA,0
"4","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN04",8,"8",8,1,0
"16","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN16",8,"NR (No Response)",NA,NA,0
"22","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN22",8,"NR (No Response)",NA,NA,0
"8","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN08",10,"NR (No Response)",NA,NA,0
"13","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN13",10,"NR (No Response)",NA,NA,0
"17","mn028","KULeuven","R_8aMkTqfvPW4dTbP","Yes (Please include date of testing)","04-24-2025","","GN17",10,"NR (No Response)",NA,NA,0
