"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN01",1,"1",1,1,1
"11","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN11",1,"1",1,1,1
"19","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN19",1,"1",1,1,1
"2","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN02",2,"2",2,1,1
"15","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN015",2,"2",2,1,1
"18","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN18",2,"2",2,1,1
"7","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN07",3,"3",3,1,1
"14","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN14",3,"3",3,1,1
"23","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN23",3,"3",3,1,1
"3","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN03",4,"5",5,0,1
"9","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN09",4,"8",8,0,1
"21","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN21",4,"12",12,0,1
"6","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN06",5,"19",19,0,1
"12","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN12",5,"10",10,0,1
"20","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN20",5,"13",13,0,1
"5","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN05",6,"6",6,1,1
"10","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN10",6,"9",9,0,1
"24","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN24",6,"8",8,0,1
"4","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN04",8,"6",6,0,1
"16","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN16",8,"12",12,0,1
"22","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN22",8,"9",9,0,1
"8","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN08",10,"9",9,0,1
"13","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN13",10,"9",9,0,1
"17","mn033","KULeuven","R_8wLVYHRqdtn0idj","Yes (Please include date of testing)","05-05-2025","","GN17",10,"11",11,0,1
