"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN01",1,"1",1,1,1
"11","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN11",1,"1",1,1,1
"19","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN19",1,"1",1,1,1
"2","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN02",2,"2",2,1,1
"15","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN015",2,"2",2,1,1
"18","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN18",2,"2",2,1,1
"7","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN07",3,"3",3,1,1
"14","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN14",3,"3",3,1,1
"23","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN23",3,"3",3,1,1
"3","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN03",4,"4",4,1,1
"9","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN09",4,"4",4,1,1
"21","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN21",4,"10",10,0,1
"6","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN06",5,"11",11,0,1
"12","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN12",5,"10",10,0,1
"20","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN20",5,"4",4,0,1
"5","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN05",6,"9",9,0,1
"10","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN10",6,"6",6,1,1
"24","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN24",6,"14",14,0,1
"4","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN04",8,"6",6,0,1
"16","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN16",8,"13",13,0,1
"22","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN22",8,"14",14,0,1
"8","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN08",10,"15",15,0,1
"13","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN13",10,"13",13,0,1
"17","mn040","KULeuven","R_8mkHWTTmCcmkS5b","Yes (Please include date of testing)","05-09-2025","","GN17",10,"14",14,0,1
