"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN01",1,"2",2,0,0
"11","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN11",1,"1",1,1,0
"19","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN19",1,"NR (No Response)",NA,NA,0
"2","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN02",2,"2",2,1,0
"15","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN015",2,"2",2,1,0
"18","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN18",2,"5",5,0,0
"7","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN07",3,"2",2,0,0
"14","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN14",3,"5",5,0,0
"23","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN23",3,"NA (Not Administered)",NA,NA,0
"3","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN03",4,"3",3,0,0
"9","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN09",4,"3",3,0,0
"21","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN21",4,"NR (No Response)",NA,NA,0
"6","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN06",5,"8",8,0,0
"12","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN12",5,"7",7,0,0
"20","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN20",5,"NR (No Response)",NA,NA,0
"5","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN05",6,"6",6,1,0
"10","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN10",6,"4",4,0,0
"24","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN24",6,"NA (Not Administered)",NA,NA,0
"4","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN04",8,"4",4,0,0
"16","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN16",8,"6",6,0,0
"22","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN22",8,"NA (Not Administered)",NA,NA,0
"8","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN08",10,"17",17,0,0
"13","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN13",10,"8",8,0,0
"17","mn042","KULeuven","R_8Tvhe1WCFLaUxeR","Yes (Please include date of testing)","05-06-2025","","GN17",10,"NR (No Response)",NA,NA,0
