"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN01",1,"1",1,1,1
"11","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN11",1,"1",1,1,1
"19","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN19",1,"1",1,1,1
"2","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN02",2,"2",2,1,1
"15","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN015",2,"2",2,1,1
"18","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN18",2,"2",2,1,1
"7","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN07",3,"9",9,0,1
"14","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN14",3,"6",6,0,1
"23","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN23",3,"9",9,0,1
"3","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN03",4,"3",3,0,1
"9","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN09",4,"9",9,0,1
"21","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN21",4,"6",6,0,1
"6","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN06",5,"7",7,0,1
"12","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN12",5,"11",11,0,1
"20","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN20",5,"14",14,0,1
"5","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN05",6,"5",5,0,1
"10","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN10",6,"10",10,0,1
"24","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN24",6,"9",9,0,1
"4","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN04",8,"4",4,0,1
"16","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN16",8,"6",6,0,1
"22","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN22",8,"17",17,0,1
"8","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN08",10,"10",10,1,1
"13","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN13",10,"13",13,0,1
"17","mn043","KULeuven","R_2780JTFbNi5s1EZ","Yes (Please include date of testing)","05-09-2025","","GN17",10,"11",11,0,1
