"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN01",1,"1",1,1,0
"11","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN11",1,"1",1,1,0
"19","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN19",1,"1",1,1,0
"2","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN02",2,"2",2,1,0
"15","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN015",2,"2",2,1,0
"18","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN18",2,"2",2,1,0
"7","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN07",3,"3",3,1,0
"14","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN14",3,"3",3,1,0
"23","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN23",3,"NA (Not Administered)",NA,NA,0
"3","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN03",4,"3",3,0,0
"9","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN09",4,"8",8,0,0
"21","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN21",4,"NA (Not Administered)",NA,NA,0
"6","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN06",5,"10",10,0,0
"12","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN12",5,"6",6,0,0
"20","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN20",5,"NR (No Response)",NA,NA,0
"5","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN05",6,"9",9,0,0
"10","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN10",6,"6",6,1,0
"24","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN24",6,"NA (Not Administered)",NA,NA,0
"4","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN04",8,"6",6,0,0
"16","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN16",8,"6",6,0,0
"22","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN22",8,"NA (Not Administered)",NA,NA,0
"8","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN08",10,"11",11,0,0
"13","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN13",10,"16",16,0,0
"17","mn050","KULeuven","R_8Jr5k5c0XijIOnL","Yes (Please include date of testing)","05-13-2025","","GN17",10,"NR (No Response)",NA,NA,0
