"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN01",1,"1",1,1,1
"11","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN11",1,"1",1,1,1
"19","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN19",1,"1",1,1,1
"2","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN02",2,"2",2,1,1
"15","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN015",2,"2",2,1,1
"18","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN18",2,"2",2,1,1
"7","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN07",3,"3",3,1,1
"14","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN14",3,"3",3,1,1
"23","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN23",3,"3",3,1,1
"3","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN03",4,"4",4,1,1
"9","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN09",4,"4",4,1,1
"21","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN21",4,"4",4,1,1
"6","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN06",5,"5",5,1,1
"12","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN12",5,"5",5,1,1
"20","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN20",5,"5",5,1,1
"5","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN05",6,"5",5,0,1
"10","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN10",6,"6",6,1,1
"24","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN24",6,"8",8,0,1
"4","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN04",8,"15",15,0,1
"16","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN16",8,"8",8,1,1
"22","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN22",8,"8",8,1,1
"8","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN08",10,"10",10,1,1
"13","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN13",10,"10",10,1,1
"17","mn056","KULeuven","R_8DvSMYIVFnEECEF","Yes (Please include date of testing)","05-13-2025","","GN17",10,"10",10,1,1
