"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN01",1,"1",1,1,1
"11","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN11",1,"1",1,1,1
"19","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN19",1,"1",1,1,1
"2","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN02",2,"2",2,1,1
"15","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN015",2,"2",2,1,1
"18","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN18",2,"2",2,1,1
"7","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN07",3,"2",2,0,1
"14","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN14",3,"2",2,0,1
"23","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN23",3,"2",2,0,1
"3","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN03",4,"2",2,0,1
"9","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN09",4,"2",2,0,1
"21","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN21",4,"2",2,0,1
"6","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN06",5,"4",4,0,1
"12","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN12",5,"2",2,0,1
"20","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN20",5,"2",2,0,1
"5","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN05",6,"3",3,0,1
"10","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN10",6,"6",6,1,1
"24","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN24",6,"2",2,0,1
"4","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN04",8,"6",6,0,1
"16","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN16",8,"2",2,0,1
"22","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN22",8,"2",2,0,1
"8","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN08",10,"2",2,0,1
"13","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN13",10,"10",10,1,1
"17","mn059","KULeuven","R_2QiiXw12KuoyMUD","Yes (Please include date of testing)","07-15-2025","","GN17",10,"2",2,0,1
