"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN01",1,"1",1,1,0
"11","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN11",1,"1",1,1,0
"19","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN19",1,"NR (No Response)",NA,NA,0
"2","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN02",2,"2",2,1,0
"15","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN015",2,"1",1,0,0
"18","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN18",2,"NR (No Response)",NA,NA,0
"7","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN07",3,"2",2,0,0
"14","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN14",3,"3",3,1,0
"23","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN23",3,"NA (Not Administered)",NA,NA,0
"3","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN03",4,"2",2,0,0
"9","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN09",4,"2",2,0,0
"21","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN21",4,"NA (Not Administered)",NA,NA,0
"6","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN06",5,"2",2,0,0
"12","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN12",5,"2",2,0,0
"20","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN20",5,"NR (No Response)",NA,NA,0
"5","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN05",6,"2",2,0,0
"10","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN10",6,"2",2,0,0
"24","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN24",6,"NA (Not Administered)",NA,NA,0
"4","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN04",8,"1",1,0,0
"16","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN16",8,"1",1,0,0
"22","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN22",8,"NA (Not Administered)",NA,NA,0
"8","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN08",10,"2",2,0,0
"13","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN13",10,"5",5,0,0
"17","mn062","KULeuven","R_89uJId9d69FYY8x","Yes (Please include date of testing)","07-16-2025","","GN17",10,"2",2,0,0
