"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN01",1,"1",1,1,0
"11","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN11",1,"1",1,1,0
"19","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN19",1,"1",1,1,0
"2","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN02",2,"2",2,1,0
"15","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN015",2,"2",2,1,0
"18","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN18",2,"2",2,1,0
"7","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN07",3,"3",3,1,0
"14","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN14",3,"16",16,0,0
"23","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN23",3,"3",3,1,0
"3","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN03",4,"3",3,0,0
"9","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN09",4,"6",6,0,0
"21","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN21",4,"6",6,0,0
"6","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN06",5,"10",10,0,0
"12","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN12",5,"5",5,1,0
"20","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN20",5,"4",4,0,0
"5","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN05",6,"5",5,0,0
"10","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN10",6,"15",15,0,0
"24","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN24",6,"NR (No Response)",NA,NA,0
"4","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN04",8,"12",12,0,0
"16","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN16",8,"16",16,0,0
"22","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN22",8,"NR (No Response)",NA,NA,0
"8","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN08",10,"4",4,0,0
"13","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN13",10,"3",3,0,0
"17","mn065","KULeuven","R_2bUIDTo1bnzqRpu","Yes (Please include date of testing)","11-14-2025","","GN17",10,"3",3,0,0
