"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN01",1,"1",1,1,1
"11","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN11",1,"1",1,1,1
"19","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN19",1,"1",1,1,1
"2","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN02",2,"1",1,0,1
"15","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN015",2,"1",1,0,1
"18","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN18",2,"2",2,1,1
"7","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN07",3,"1",1,0,1
"14","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN14",3,"1",1,0,1
"23","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN23",3,"1",1,0,1
"3","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN03",4,"1",1,0,1
"9","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN09",4,"1",1,0,1
"21","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN21",4,"1",1,0,1
"6","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN06",5,"1",1,0,1
"12","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN12",5,"1",1,0,1
"20","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN20",5,"1",1,0,1
"5","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN05",6,"1",1,0,1
"10","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN10",6,"1",1,0,1
"24","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN24",6,"1",1,0,1
"4","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN04",8,"1",1,0,1
"16","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN16",8,"1",1,0,1
"22","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN22",8,"1",1,0,1
"8","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN08",10,"1",1,0,1
"13","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN13",10,"1",1,0,1
"17","mn067","KULeuven","R_2B0FUf9Y7YRvhjr","Yes (Please include date of testing)","11-14-2025","","GN17",10,"1",1,0,1
