"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","sample1",1,NA,NA,NA,"colored PNG/PICTURE_203.png","None","None","None","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None",NA,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,1,343.641995499842,359.85358190001,16.211586400168,1,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item01",1,2,"test_p3","p3","colored PNG/PICTURE_78.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","blank.png","blank.png","blank.png","blank.png",0,0,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,365.767787499819,379.366167399799,13.5983798999805,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item02",1,2,"test_p2","p2","colored PNG/PICTURE_423.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","blank.png","blank.png","blank.png","blank.png",0,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,384.028128299862,392.842613899847,8.81448559998535,1,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item03",1,2,"test_p3","p3","colored PNG/PICTURE_264.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","blank.png","blank.png","blank.png","blank.png",0,0,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,396.92414769996,408.721478999825,11.7973312998656,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item04",1,3,"test_p4","p4","colored PNG/PICTURE_423.png",NA,NA,NA,"colored PNG/PICTURE_78.png","blank.png","blank.png","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","blank.png","blank.png",0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,1,412.61847519991,418.708916199859,6.09044099994935,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item05",1,3,"test_p5","p5","colored PNG/PICTURE_695.png",NA,NA,NA,"colored PNG/PICTURE_285.png","blank.png","blank.png","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","blank.png","blank.png",0,0,0,0,1,0,0,NA,NA,NA,1,NA,NA,NA,1,422.815207999898,428.143608700018,5.32840070012026,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item06",1,3,"test_p1","p1","colored PNG/PICTURE_353.png",NA,NA,NA,"colored PNG/PICTURE_264.png","blank.png","blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","blank.png","blank.png",0,0,0,1,0,0,0,NA,NA,NA,1,NA,NA,NA,1,432.045543699991,440.705280399881,8.65973669989035,1,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item07",1,4,"test_p3","p3","colored PNG/PICTURE_285.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","blank.png","blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,444.757930699969,458.57111049979,13.8131797998212,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item08",1,4,"test_p2","p2","colored PNG/PICTURE_78.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","blank.png","blank.png","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png",0,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,462.701861399924,468.565762699815,5.86390129989013,1,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item09",1,5,"test_p9","p9","colored PNG/PICTURE_285.png",NA,NA,NA,"colored PNG/PICTURE_78.png","blank.png","blank.png","colored PNG/PICTURE_695.png","colored PNG/PICTURE_264.png","blank.png","blank.png",0,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1,472.431491999887,478.364530899795,5.93303889990784,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","sample2",2,NA,NA,NA,"None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_268.png","None","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_446.png","None","None","colored PNG/PICTURE_268.png","colored PNG/PICTURE_324.png",0,1,0,0,0,1,0,NA,NA,1,NA,NA,NA,NA,1,491.009015999967,497.224791599903,6.21577559993602,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
"mn070",25,7,2022,3,3,"3 or younger","KULeuven","Dutch","no","2025-11-14_15h20.21.618","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","sample2",2,NA,NA,NA,"None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_268.png","None","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_446.png","None","None","colored PNG/PICTURE_268.png","colored PNG/PICTURE_324.png",0,1,0,0,0,1,0,NA,1,NA,NA,NA,NA,NA,1,509.202577999793,518.783048099838,9.5804701000452,0,"local","[1024, 768]","[1920 1080]",NA,"mn070"
