"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN01",1,"1",1,1,0
"11","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN11",1,"1",1,1,0
"19","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN19",1,"1",1,1,0
"2","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN02",2,"2",2,1,0
"15","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN015",2,"2",2,1,0
"18","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN18",2,"2",2,1,0
"7","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN07",3,"4",4,0,0
"14","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN14",3,"3",3,1,0
"23","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN23",3,"6",6,0,0
"3","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN03",4,"4",4,1,0
"9","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN09",4,"5",5,0,0
"21","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN21",4,"5",5,0,0
"6","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN06",5,"5",5,1,0
"12","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN12",5,"4",4,0,0
"20","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN20",5,"5",5,1,0
"5","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN05",6,"9",9,0,0
"10","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN10",6,"7",7,0,0
"24","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN24",6,"1",1,0,0
"4","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN04",8,"7",7,0,0
"16","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN16",8,"NR (No Response)",NA,NA,0
"22","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN22",8,"10",10,0,0
"8","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN08",10,"8",8,0,0
"13","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN13",10,"4",4,0,0
"17","mn071","KULeuven","R_21hdaiAonQLeG45","Yes (Please include date of testing)","11-14-2025","","GN17",10,"6",6,0,0
