"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN01",1,"4",4,0,1
"11","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN11",1,"1",1,1,1
"19","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN19",1,"1",1,1,1
"2","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN02",2,"2",2,1,1
"15","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN015",2,"2",2,1,1
"18","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN18",2,"2",2,1,1
"7","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN07",3,"3",3,1,1
"14","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN14",3,"3",3,1,1
"23","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN23",3,"3",3,1,1
"3","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN03",4,"6",6,0,1
"9","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN09",4,"12",12,0,1
"21","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN21",4,"20",20,0,1
"6","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN06",5,"20",20,0,1
"12","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN12",5,"20",20,0,1
"20","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN20",5,"15",15,0,1
"5","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN05",6,"20",20,0,1
"10","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN10",6,"16",16,0,1
"24","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN24",6,"20",20,0,1
"4","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN04",8,"13",13,0,1
"16","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN16",8,"20",20,0,1
"22","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN22",8,"20",20,0,1
"8","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN08",10,"20",20,0,1
"13","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN13",10,"20",20,0,1
"17","mn073","KULeuven","R_8BlglRN4Lc4sKkJ","Yes (Please include date of testing)","11-28-2025","","GN17",10,"20",20,0,1
