"","gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"1","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN01",1,"1",1,1,1
"11","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN11",1,"5",5,0,1
"19","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN19",1,"4",4,0,1
"2","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN02",2,"2",2,1,1
"15","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN015",2,"2",2,1,1
"18","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN18",2,"4",4,0,1
"7","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN07",3,"2",2,0,1
"14","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN14",3,"5",5,0,1
"23","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN23",3,"5",5,0,1
"3","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN03",4,"5",5,0,1
"9","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN09",4,"4",4,1,1
"21","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN21",4,"13",13,0,1
"6","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN06",5,"9",9,0,1
"12","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN12",5,"7",7,0,1
"20","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN20",5,"5",5,1,1
"5","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN05",6,"13",13,0,1
"10","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN10",6,"2",2,0,1
"24","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN24",6,"8",8,0,1
"4","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN04",8,"14",14,0,1
"16","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN16",8,"8",8,1,1
"22","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN22",8,"15",15,0,1
"8","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN08",10,"4",4,0,1
"13","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN13",10,"7",7,0,1
"17","mn074","KULeuven","R_2Pkj5jT7rRbkPE7","Yes (Please include date of testing)","11-28-2025","","GN17",10,"4",4,0,1
